2025-04-27 16:43:49,911 INFO    MainThread:6892 [wandb_setup.py:_flush():76] Current SDK version is 0.16.1
2025-04-27 16:43:49,912 INFO    MainThread:6892 [wandb_setup.py:_flush():76] Configure stats pid to 6892
2025-04-27 16:43:49,912 INFO    MainThread:6892 [wandb_setup.py:_flush():76] Loading settings from C:\Users\ASUS\.config\wandb\settings
2025-04-27 16:43:49,912 INFO    MainThread:6892 [wandb_setup.py:_flush():76] Loading settings from D:\IIT Delhi\Projects\Adversarial games\Experimentation\codeBase\wandb\settings
2025-04-27 16:43:49,912 INFO    MainThread:6892 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2025-04-27 16:43:49,912 INFO    MainThread:6892 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2025-04-27 16:43:49,912 INFO    MainThread:6892 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'trainer.py', 'program_abspath': 'D:\\IIT Delhi\\Projects\\Adversarial games\\Experimentation\\codeBase\\trainer.py', 'program': 'D:\\IIT Delhi\\Projects\\Adversarial games\\Experimentation\\codeBase\\trainer.py'}
2025-04-27 16:43:49,912 INFO    MainThread:6892 [wandb_init.py:_log_setup():524] Logging user logs to D:\IIT Delhi\Projects\Adversarial games\Experimentation\codeBase\wandb\run-20250427_164349-r5zv4rwn\logs\debug.log
2025-04-27 16:43:49,912 INFO    MainThread:6892 [wandb_init.py:_log_setup():525] Logging internal logs to D:\IIT Delhi\Projects\Adversarial games\Experimentation\codeBase\wandb\run-20250427_164349-r5zv4rwn\logs\debug-internal.log
2025-04-27 16:43:49,912 INFO    MainThread:6892 [wandb_init.py:init():564] calling init triggers
2025-04-27 16:43:49,912 INFO    MainThread:6892 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {}
2025-04-27 16:43:49,912 INFO    MainThread:6892 [wandb_init.py:init():614] starting backend
2025-04-27 16:43:49,912 INFO    MainThread:6892 [wandb_init.py:init():618] setting up manager
2025-04-27 16:43:49,914 INFO    MainThread:6892 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2025-04-27 16:43:49,917 INFO    MainThread:6892 [wandb_init.py:init():624] backend started and connected
2025-04-27 16:43:49,918 INFO    MainThread:6892 [wandb_init.py:init():716] updated telemetry
2025-04-27 16:43:49,950 INFO    MainThread:6892 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
